2025-09-14 16:41:07 | INFO     | __main__:__init__:63 | AdvancedBot initialized with comprehensive features
2025-09-14 16:41:07 | INFO     | __main__:main:289 | Starting bot...
2025-09-14 16:41:07 | INFO     | __main__:setup_hook:98 | Setting up bot...
2025-09-14 16:41:07 | INFO     | __main__:_load_all_cogs:130 | Loading 3 cogs...
2025-09-14 16:41:07 | ERROR    | __main__:_load_all_cogs:138 | Failed to load cog cogs.admin: Extension 'cogs.admin' raised an error: TypeError: Commands or listeners must not start with cog_ or bot_ (in method AdminCog.cog_list)
2025-09-14 16:41:07 | INFO     | cogs.moderation:setup:160 | ModerationCog loaded successfully
2025-09-14 16:41:07 | SUCCESS  | __main__:_load_all_cogs:135 | Loaded cog: cogs.moderation
2025-09-14 16:41:07 | INFO     | cogs.utility:setup:213 | UtilityCog loaded successfully
2025-09-14 16:41:07 | SUCCESS  | __main__:_load_all_cogs:135 | Loaded cog: cogs.utility
2025-09-14 16:41:07 | WARNING  | __main__:_load_all_cogs:142 | 1 cog(s) failed to load
2025-09-14 16:41:07 | INFO     | __main__:setup_hook:114 | Syncing application commands...
2025-09-14 16:41:08 | SUCCESS  | __main__:setup_hook:116 | Synced 8 command(s)
2025-09-14 16:41:08 | SUCCESS  | __main__:setup_hook:120 | Bot setup completed successfully!
2025-09-14 16:41:10 | SUCCESS  | __main__:on_ready:148 | Bot is ready!
2025-09-14 16:41:10 | INFO     | __main__:on_ready:149 | Logged in as: Bahariya Clanka#9286 (ID: 1416776407178018957)
2025-09-14 16:41:10 | INFO     | __main__:on_ready:150 | Connected to 1 guild(s)
2025-09-14 16:41:10 | INFO     | __main__:on_ready:151 | Serving 9 users
2025-09-14 16:41:10 | WARNING  | __main__:on_ready:155 | Cog loading errors:
2025-09-14 16:41:10 | WARNING  | __main__:on_ready:157 |   - Failed to load cog cogs.admin: Extension 'cogs.admin' raised an error: TypeError: Commands or listeners must not start with cog_ or bot_ (in method AdminCog.cog_list)
2025-09-14 16:41:23 | INFO     | __main__:__init__:63 | AdvancedBot initialized with comprehensive features
2025-09-14 16:41:23 | INFO     | __main__:main:289 | Starting bot...
2025-09-14 16:41:23 | INFO     | __main__:setup_hook:98 | Setting up bot...
2025-09-14 16:41:23 | INFO     | __main__:_load_all_cogs:130 | Loading 3 cogs...
2025-09-14 16:41:23 | INFO     | cogs.admin:setup:437 | AdminCog loaded successfully
2025-09-14 16:41:23 | SUCCESS  | __main__:_load_all_cogs:135 | Loaded cog: cogs.admin
2025-09-14 16:41:23 | INFO     | cogs.moderation:setup:160 | ModerationCog loaded successfully
2025-09-14 16:41:23 | SUCCESS  | __main__:_load_all_cogs:135 | Loaded cog: cogs.moderation
2025-09-14 16:41:23 | INFO     | cogs.utility:setup:213 | UtilityCog loaded successfully
2025-09-14 16:41:23 | SUCCESS  | __main__:_load_all_cogs:135 | Loaded cog: cogs.utility
2025-09-14 16:41:23 | SUCCESS  | __main__:_load_all_cogs:144 | All cogs loaded successfully!
2025-09-14 16:41:23 | INFO     | __main__:setup_hook:114 | Syncing application commands...
2025-09-14 16:42:08 | SUCCESS  | __main__:setup_hook:116 | Synced 19 command(s)
2025-09-14 16:42:08 | SUCCESS  | __main__:setup_hook:120 | Bot setup completed successfully!
2025-09-14 16:42:10 | SUCCESS  | __main__:on_ready:148 | Bot is ready!
